step,train_loss,val_loss,lr,tokens_per_sec
7000,3.3798,,0.000346,91085
7000,3.3975,3.4062,0.000346,
7020,3.4047,,0.000344,91029
7040,3.4213,,0.000343,65110
7060,3.4141,,0.000342,90044
7080,3.3961,,0.000341,91101
7100,3.3786,,0.000339,91175
7100,3.3654,3.4054,0.000339,
7120,3.3661,,0.000338,92420
7140,3.3682,,0.000337,60898
7160,3.3858,,0.000336,89925
7180,3.3382,,0.000334,90964
7200,3.4068,,0.000333,90924
7200,3.3754,3.4216,0.000333,
7220,3.3903,,0.000332,91192
7240,3.4459,,0.000331,90948
7260,3.3869,,0.000329,91048
7280,3.4113,,0.000328,91069
7300,3.3803,,0.000327,91071
7300,3.3834,3.4106,0.000327,
7320,3.3494,,0.000326,55670
7340,3.3767,,0.000324,91038
7360,3.4440,,0.000323,89817
7380,3.3413,,0.000322,91095
7400,3.3944,,0.000321,91175
7400,3.3840,3.3802,0.000321,
7420,3.3950,,0.000319,92378
7440,3.4103,,0.000318,65107
7460,3.3915,,0.000317,89340
7480,3.3577,,0.000316,90564
7500,3.3163,,0.000314,91086
7500,3.3637,3.4011,0.000314,
7520,3.3842,,0.000313,91300
7540,3.3687,,0.000312,90300
7560,3.3718,,0.000311,90921
7580,3.3857,,0.000309,91077
7600,3.3582,,0.000308,91060
7600,3.3711,3.3861,0.000308,
7620,3.3533,,0.000307,90633
7640,3.3547,,0.000306,90925
7660,3.3172,,0.000304,91066
7680,3.3437,,0.000303,91079
7700,3.3433,,0.000302,91062
7700,3.3579,3.3967,0.000302,
7720,3.4084,,0.000301,91783
7740,3.3553,,0.000299,91011
7760,3.3396,,0.000298,91064
7780,3.3050,,0.000297,91076
7800,3.3121,,0.000296,91062
7800,3.3271,3.3966,0.000296,
7820,3.3650,,0.000294,91661
7840,3.3526,,0.000293,91025
7860,3.3322,,0.000292,91045
7880,3.3178,,0.000291,91077
7900,3.3286,,0.000289,91057
7900,3.3459,3.3851,0.000289,
7920,3.2964,,0.000288,53707
7940,3.3438,,0.000287,90747
7960,3.3868,,0.000286,90050
7980,3.3507,,0.000284,90978
8000,3.3434,,0.000283,91051
8000,3.3647,3.3837,0.000283,
8020,3.3437,,0.000282,91179
8040,3.3615,,0.000281,89409
8060,3.3832,,0.000279,90454
8080,3.2873,,0.000278,91064
8100,3.3615,,0.000277,91075
8100,3.3255,3.3654,0.000277,
8120,3.4203,,0.000276,57609
8140,3.3549,,0.000274,90263
8160,3.3010,,0.000273,90049
8180,3.2954,,0.000272,91118
8200,3.3213,,0.000271,91045
8200,3.3385,3.3390,0.000271,
8220,3.4238,,0.000270,92816
8240,3.3942,,0.000268,90607
8260,3.3495,,0.000267,89506
8280,3.3406,,0.000266,68267
8300,3.2749,,0.000265,91082
8300,3.3154,3.3581,0.000265,
8320,3.3380,,0.000263,90931
8340,3.3369,,0.000262,91017
8360,3.2739,,0.000261,91070
8380,3.3137,,0.000260,91064
8400,3.3513,,0.000259,91068
8400,3.3178,3.3708,0.000259,
8420,3.3553,,0.000257,91588
8440,3.3431,,0.000256,91003
8460,3.3451,,0.000255,91069
8480,3.3040,,0.000254,91075
8500,3.3323,,0.000253,91061
8500,3.3149,3.3871,0.000253,
8520,3.3260,,0.000251,91622
8540,3.3845,,0.000250,91018
8560,3.3101,,0.000249,91057
8580,3.2833,,0.000248,91075
8600,3.2825,,0.000247,91056
8600,3.2931,3.3469,0.000247,
8620,3.3372,,0.000245,91760
8640,3.3570,,0.000244,91011
8660,3.3392,,0.000243,91071
8680,3.3780,,0.000242,91063
8700,3.3335,,0.000241,91057
8700,3.3189,3.3542,0.000241,
8720,3.3397,,0.000239,91698
8740,3.3750,,0.000238,91016
8760,3.3193,,0.000237,91064
8780,3.3717,,0.000236,91063
8800,3.3362,,0.000235,91057
8800,3.2797,3.3415,0.000235,
8820,3.2885,,0.000234,91629
8840,3.3726,,0.000232,91026
8860,3.3498,,0.000231,91056
8880,3.3023,,0.000230,91067
8900,3.3156,,0.000229,91068
8900,3.2925,3.3762,0.000229,
8920,3.3066,,0.000228,91024
8940,3.3531,,0.000227,91022
8960,3.3177,,0.000225,91059
8980,3.3384,,0.000224,91074
9000,3.3207,,0.000223,91059
9000,3.2920,3.3532,0.000223,
9020,3.3760,,0.000222,91578
9040,3.3146,,0.000221,90980
9060,3.3440,,0.000220,90965
9080,3.2865,,0.000218,91078
9100,3.2658,,0.000217,91067
9100,3.2942,3.3170,0.000217,
9120,3.2904,,0.000216,91853
9140,3.3795,,0.000215,90647
9160,3.3436,,0.000214,90788
9180,3.2757,,0.000213,91076
9200,3.2840,,0.000212,91065
9200,3.2948,3.3736,0.000212,
9220,3.3140,,0.000211,90750
9240,3.3347,,0.000209,90694
9260,3.2939,,0.000208,91052
9280,3.3138,,0.000207,91070
9300,3.3080,,0.000206,91060
9300,3.2991,3.3355,0.000206,
9320,3.2926,,0.000205,91552
9340,3.3370,,0.000204,91022
9360,3.2573,,0.000203,91060
9380,3.3253,,0.000202,91074
9400,3.3097,,0.000200,91066
9400,3.2851,3.3472,0.000200,
9420,3.2822,,0.000199,91055
9440,3.3404,,0.000198,91020
